time_period,headline_inflation_rate,industrial_production_growth_rate,retail_sales_growth
2026-07-01,4.45,14.5,15.335
2026-06-01,4.688,12.9,14.471
2026-05-01,5.601,10.1,13.981
2026-04-01,5.463,9.3,16.207
2026-03-01,4.653,6.9,10.267
2026-02-01,3.35,0.6,13.7
2026-01-01,2.526,19.4,6.768
2025-12-01,3.483,10.1,13.616
2025-11-01,3.583,9.1,2.197
2025-10-01,3.238,10.4,11.188
2025-09-01,3.379,12.7,10.3
2025-08-01,3.238,8.7,9.666
2025-07-01,3.188,7.4,7.057
2025-06-01,3.576,8.0,6.748
2025-05-01,3.25,9.6,7.436
2025-04-01,3.13,9.6,7.156
2025-03-01,3.132,9.9,5.929
2025-02-01,2.923,17.6,10.333
2025-01-01,3.646,-1.0,9.673
2024-12-01,2.953,8.8,6.314
2024-11-01,2.782,8.0,12.534
2024-10-01,2.912,7.0,5.009
2024-09-01,2.658,10.8,7.901
2024-08-01,3.465,8.4,8.647
2024-07-01,4.374,11.1,8.508
2024-06-01,4.341,12.4,8.645
2024-05-01,4.448,10.0,8.639
2024-04-01,4.417,6.3,8.371
2024-03-01,3.982,4.8,27.102
2024-02-01,3.972,-5.9,-5.052
2024-01-01,3.369,18.9,7.07
2023-12-01,3.588,5.8,-2.808
2023-11-01,3.45,5.0,2.053
2023-10-01,3.601,4.4,0.995
2023-09-01,3.671,2.9,1.91
2023-08-01,2.969,3.5,0.557
2023-07-01,2.083,2.3,-0.026
2023-06-01,2.038,1.8,-0.285
2023-05-01,2.462,0.5,0.797
2023-04-01,2.84,-2.4,2.72
2023-03-01,3.377,-2.0,-9.676
2023-02-01,4.342,7.2,20.542
2023-01-01,4.915,-14.9,3.036
2022-12-01,4.571,0.2,8.691
2022-11-01,4.397,3.5,8.587
2022-10-01,4.311,5.5,4.514
2022-09-01,3.948,10.3,9.752
2022-08-01,2.902,13.3,43.643
2022-07-01,3.152,9.5,26.169
2022-06-01,3.371,9.1,21.366
2022-05-01,2.855,9.5,16.316
2022-04-01,2.626,11.1,13.036
2022-03-01,2.402,9.1,11.76
2022-02-01,1.42,9.2,7.211
2022-01-01,1.937,2.8,0.275
2021-12-01,1.803,8.7,3.7
2021-11-01,2.086,8.2,0.4
2021-10-01,1.759,-1.8,5.086
2021-09-01,2.054,-7.5,-0.364
2021-08-01,2.814,-7.8,-22.571
2021-07-01,2.624,-0.3,-10.133
2021-06-01,2.396,4.9,-3.876
2021-05-01,2.88,11.8,0.158
2021-04-01,2.697,22.2,21.954
2021-03-01,1.159,3.6,6.971
2021-02-01,0.692,-8.3,-0.719
2021-01-01,-0.981,22.5,5.393
2020-12-01,0.181,9.5,7.519
2020-11-01,1.476,6.0,10.596
2020-10-01,2.461,3.9,9.664
2020-09-01,2.975,4.8,7.504
2020-08-01,3.183,-0.6,6.701
2020-07-01,3.391,1.8,6.962
2020-06-01,3.174,7.2,4.391
2020-05-01,2.399,-0.4,3.44
2020-04-01,2.928,-9.4,-12.707
2020-03-01,4.86,4.9,-1.531
2020-02-01,5.403,22.3,6.725
2020-01-01,6.432,-8.0,11.46
2019-12-01,5.238,6.2,7.143
2019-11-01,3.531,5.5,13.883
2019-10-01,2.245,9.8,14.196
2019-09-01,1.979,9.9,13.847
2019-08-01,2.253,10.5,13.374
2019-07-01,2.431,9.8,11.862
2019-06-01,2.154,9.0,12.033
2019-05-01,2.865,10.2,12.394
2019-04-01,2.929,9.3,12.092
2019-03-01,2.702,9.2,14.935
2019-02-01,2.634,10.1,9.35
2019-01-01,2.556,8.1,18.021
2018-12-01,2.985,11.4,18.679
2018-11-01,3.457,9.6,11.136
2018-10-01,3.903,7.7,11.959
2018-09-01,3.981,9.1,12.931
2018-08-01,3.967,11.3,12.725
2018-07-01,4.466,14.3,13.23
2018-06-01,4.672,12.3,13.802
2018-05-01,3.863,7.1,14.607
2018-04-01,2.749,9.4,13.07
2018-03-01,2.662,8.7,12.528
2018-02-01,3.153,8.0,18.313
2018-01-01,2.648,21.9,5.535
2017-12-01,2.585,11.2,22.654
2017-11-01,2.616,17.2,10.995
2017-10-01,2.97,17.0,11.079
2017-09-01,3.403,13.2,12.616
2017-08-01,3.357,8.4,8.414
