time_period,total_index,energy,non_energy,agriculture,raw_materials,fertiliezers,metals_minerals,precious_metals
2012-01-01,125.8,134.1,108.8,111.1,105.7,138.6,100.5,136.9
2012-02-01,132.4,142.8,111.3,113.4,107.8,139.3,104.0,146.3
2012-03-01,136.0,147.9,111.9,114.5,106.5,136.9,103.5,140.8
2012-04-01,132.4,142.4,111.8,114.7,106.3,154.3,101.0,137.6
2012-05-01,124.7,132.3,109.5,112.9,104.6,161.1,96.6,130.9
2012-06-01,112.7,116.0,106.1,110.5,98.8,152.8,91.6,130.8
2012-07-01,119.7,124.6,109.8,118.4,97.5,118.6,91.2,129.9
2012-08-01,126.8,135.4,109.3,118.1,95.7,140.4,87.7,133.6
2012-09-01,127.3,135.2,111.2,118.1,98.1,140.7,93.6,145.7
2012-10-01,125.9,134.2,109.0,114.9,98.6,135.0,94.0,145.4
2012-11-01,124.0,132.3,107.1,112.6,97.2,138.4,92.4,143.4
2012-12-01,124.5,132.4,108.4,112.1,99.1,136.6,97.4,140.2
2013-01-01,126.9,135.9,108.5,111.2,99.5,131.8,100.3,138.7
2013-02-01,129.4,139.8,108.2,110.0,97.2,136.4,101.3,135.3
2013-03-01,123.5,132.5,105.2,109.0,95.2,129.7,94.5,131.5
2013-04-01,118.4,126.6,102.1,106.7,94.4,117.3,90.7,121.4
2013-05-01,118.1,126.3,101.7,107.1,95.0,123.7,88.3,114.5
2013-06-01,117.3,125.7,100.5,107.1,95.1,114.4,85.4,108.1
2013-07-01,119.6,129.9,98.9,104.7,92.9,110.3,85.7,103.0
2013-08-01,121.7,133.0,98.7,102.6,94.2,107.2,89.6,109.5
2013-09-01,122.0,133.8,98.0,102.6,95.2,102.1,88.2,109.8
2013-10-01,120.7,131.7,98.3,102.9,95.4,98.3,89.1,107.1
2013-11-01,119.5,130.3,97.5,102.1,95.2,99.7,87.8,103.4
2013-12-01,122.2,134.2,97.9,102.2,95.6,101.2,88.7,98.8
2014-01-01,119.9,131.2,97.1,101.0,95.2,105.7,88.1,100.6
2014-02-01,122.0,134.0,97.9,103.2,95.3,105.6,86.2,105.0
2014-03-01,120.5,130.7,99.9,108.1,96.6,102.6,83.0,107.3
2014-04-01,120.5,130.7,100.0,107.3,95.8,94.9,85.5,103.9
2014-05-01,121.4,132.3,99.5,106.9,95.2,96.0,84.8,103.0
2014-06-01,122.3,134.3,98.1,104.7,94.9,99.5,84.4,102.9
2014-07-01,118.0,127.9,98.0,102.6,94.3,100.5,88.2,105.9
2014-08-01,113.9,122.4,96.9,100.9,91.0,101.4,88.0,103.8
2014-09-01,109.7,117.4,94.0,97.8,88.3,102.8,85.1,98.6
2014-10-01,102.2,106.8,92.9,97.3,87.0,103.5,82.6,96.3
2014-11-01,95.8,97.3,92.9,97.2,85.1,103.3,82.9,92.1
2014-12-01,83.4,79.8,90.6,95.7,84.4,101.8,78.8,94.0
2015-01-01,71.6,63.7,87.7,93.7,83.5,101.4,73.9,98.2
2015-02-01,77.8,73.8,86.1,92.0,85.0,101.7,72.4,96.2
2015-03-01,75.5,71.1,84.5,89.8,83.6,100.9,71.8,92.4
2015-04-01,76.9,73.4,84.2,89.5,83.7,95.2,72.1,93.9
2015-05-01,81.1,79.3,84.9,89.3,86.0,95.4,74.6,94.3
2015-06-01,78.9,76.7,83.6,89.1,85.6,100.2,70.3,92.4
2015-07-01,74.0,70.0,82.3,89.4,84.4,99.8,65.7,87.9
2015-08-01,66.4,60.3,78.8,85.6,83.4,98.4,62.7,87.0
2015-09-01,66.1,60.3,78.0,83.9,81.9,99.6,63.4,87.3
2015-10-01,66.3,60.5,78.0,84.8,81.7,95.5,62.2,90.5
2015-11-01,62.5,55.9,76.0,83.7,80.5,96.6,57.8,84.4
2015-12-01,57.3,48.3,75.5,83.7,80.2,96.2,56.3,83.4
2016-01-01,51.8,40.9,74.0,82.3,78.4,90.3,55.2,84.7
2016-02-01,53.3,42.8,74.6,82.5,78.3,80.3,57.7,92.3
2016-03-01,58.0,48.7,77.0,84.4,78.9,82.0,61.2,95.6
2016-04-01,61.0,52.3,78.8,86.9,81.6,81.4,62.0,96.3
2016-05-01,65.0,57.7,79.9,89.6,82.1,81.1,60.0,98.1
2016-06-01,67.3,60.2,81.6,92.6,81.6,72.5,60.3,99.3
2016-07-01,65.2,57.3,81.4,90.3,80.5,76.7,63.5,105.9
2016-08-01,65.7,58.4,80.5,89.1,80.5,72.7,63.8,105.8
2016-09-01,65.9,59.1,79.9,88.6,80.6,73.1,62.8,104.6
2016-10-01,69.4,64.4,79.5,87.4,78.7,73.0,64.1,99.0
2016-11-01,67.9,60.9,82.2,87.9,79.7,74.5,71.5,97.0
2016-12-01,73.9,69.6,82.7,87.7,81.4,75.0,73.5,90.8
2017-01-01,74.8,70.2,84.3,89.5,83.4,76.8,74.5,93.6
2017-02-01,75.0,70.1,85.2,89.3,85.2,76.8,77.9,97.3
2017-03-01,71.8,65.9,84.0,87.7,82.8,76.4,77.3,96.7
2017-04-01,72.2,67.4,82.3,86.8,82.5,73.7,74.0,99.4
2017-05-01,70.5,64.9,82.4,88.1,82.2,68.5,72.2,96.8
2017-06-01,67.5,60.6,81.6,87.1,79.0,70.3,71.7,97.9
2017-07-01,69.5,62.9,83.0,87.5,79.4,68.9,75.4,95.6
2017-08-01,72.1,66.4,83.8,85.6,79.4,70.7,81.6,99.4
2017-09-01,75.3,70.7,84.6,86.1,80.3,74.1,82.7,101.8
2017-10-01,76.9,73.3,84.4,85.3,78.6,78.1,83.4,99.1
2017-11-01,80.9,79.0,84.8,85.6,78.7,82.7,83.5,99.3
2017-12-01,81.9,80.8,84.2,84.8,80.4,74.1,84.1,97.3
2018-01-01,87.3,87.4,87.1,87.0,82.8,75.5,88.6,102.7
2018-02-01,84.1,82.1,88.3,88.7,83.2,77.7,88.6,102.1
2018-03-01,84.4,82.8,87.9,90.0,84.4,78.3,84.5,101.6
2018-04-01,88.7,88.4,89.5,91.7,84.6,78.6,86.4,102.3
2018-05-01,92.9,94.6,89.7,91.8,83.1,77.4,86.8,100.1
2018-06-01,91.7,93.7,87.9,88.9,82.2,78.0,87.0,98.7
2018-07-01,90.1,93.0,84.1,86.4,81.0,82.6,79.8,95.1
2018-08-01,88.9,92.0,82.7,84.8,80.3,84.6,78.1,92.0
2018-09-01,92.9,98.7,81.1,82.6,79.9,86.7,77.4,91.2
2018-10-01,94.3,100.2,82.3,83.4,79.1,88.2,79.4,92.6
2018-11-01,83.3,84.4,81.1,82.2,78.2,93.1,77.5,92.7
2018-12-01,76.8,74.9,80.7,82.5,77.8,89.4,76.1,94.9
2019-01-01,77.8,76.2,81.1,83.3,78.5,86.8,75.8,98.4
2019-02-01,80.9,80.1,82.5,83.5,78.8,84.8,80.1,100.4
2019-03-01,82.3,82.2,82.3,82.8,79.7,84.3,81.1,98.7
2019-04-01,85.2,86.4,82.6,82.9,79.8,84.7,81.6,97.6
2019-05-01,83.8,85.2,81.0,82.0,78.5,84.4,78.6,97.0
2019-06-01,78.3,76.3,82.3,84.0,77.9,83.8,78.5,102.1
2019-07-01,78.8,77.0,82.4,83.0,76.3,82.7,81.0,106.3
2019-08-01,74.1,71.6,79.2,80.6,74.4,81.7,76.0,113.2
2019-09-01,76.9,75.6,79.5,80.7,75.0,77.8,77.3,114.9
2019-10-01,75.2,72.7,80.2,82.2,75.5,77.7,76.5,113.4
2019-11-01,78.4,76.6,82.0,85.2,76.3,75.0,76.2,111.4
2019-12-01,80.6,79.1,83.6,87.1,77.5,72.6,77.5,111.9
2020-01-01,78.8,76.1,84.3,88.2,78.1,72.3,77.7,118.0
2020-02-01,71.2,66.3,81.1,85.6,76.7,70.9,73.0,120.2
2020-03-01,54.3,42.6,78.0,82.8,73.5,72.7,68.7,116.6
2020-04-01,46.2,31.6,75.9,81.1,72.2,72.2,65.6,122.6
2020-05-01,51.6,39.2,76.5,81.1,72.4,67.8,68.0,125.9
2020-06-01,58.8,48.5,79.6,83.2,73.6,68.2,73.7,128.3
2020-07-01,61.7,51.6,82.0,84.0,74.2,72.0,79.1,138.4
2020-08-01,64.6,54.3,85.4,86.7,76.4,78.3,83.5,152.3
2020-09-01,63.2,51.2,87.6,89.3,76.1,79.6,85.1,148.1
2020-10-01,64.0,51.6,89.0,91.2,77.7,79.8,85.5,145.2
2020-11-01,67.7,55.3,92.8,94.7,78.8,80.0,90.3,143.0
2020-12-01,74.8,63.7,97.4,97.1,79.9,81.5,99.7,143.6
2021-01-01,80.4,69.9,101.8,102.2,81.1,86.2,102.8,145.1
2021-02-01,88.4,80.4,104.6,103.8,82.8,105.4,106.4,142.9
2021-03-01,88.9,80.8,105.5,102.9,82.8,111.3,110.2,135.6
2021-04-01,90.1,80.8,108.9,105.6,82.0,110.2,115.3,138.4
2021-05-01,96.1,86.3,116.0,111.2,82.8,116.7,125.8,145.8
2021-06-01,100.7,93.9,114.6,108.7,82.5,135.5,124.3,144.2
2021-07-01,103.8,98.3,115.0,108.2,82.0,153.0,124.5,141.2
2021-08-01,102.2,96.3,114.2,109.4,82.7,159.5,119.0,138.0
2021-09-01,109.0,107.2,112.8,108.2,82.6,160.7,116.8,136.5
2021-10-01,121.3,123.4,117.2,110.2,84.9,205.5,121.4,136.9
2021-11-01,115.6,115.0,116.7,111.2,85.3,240.0,114.0,140.5
2021-12-01,114.1,112.4,117.6,111.1,83.9,243.5,116.7,136.8
2022-01-01,121.8,121.3,122.8,115.4,86.2,234.7,125.2,139.1
2022-02-01,131.4,133.3,127.6,120.8,87.0,220.7,131.2,142.2
2022-03-01,157.1,166.7,137.6,129.1,85.9,257.7,141.3,149.6
2022-04-01,148.4,153.2,138.7,130.4,86.0,293.7,138.1,148.1
2022-05-01,153.2,163.6,132.1,129.8,85.0,259.9,122.5,139.9
2022-06-01,158.0,173.5,126.5,124.8,83.1,253.0,115.7,138.9
2022-07-01,153.1,171.8,115.2,115.6,79.0,240.4,100.2,129.8
2022-08-01,153.9,172.8,115.7,115.2,78.0,229.6,103.8,132.5
2022-09-01,143.3,158.2,113.0,113.8,73.5,232.7,97.8,126.4
2022-10-01,134.7,146.2,111.4,113.0,71.4,217.9,96.1,125.8
2022-11-01,130.4,139.4,111.9,112.4,72.9,201.9,100.9,131.3
2022-12-01,125.0,130.9,113.0,111.6,75.2,186.6,107.6,138.1
2023-01-01,117.9,119.3,115.0,112.2,76.3,174.7,114.0,144.9
2023-02-01,111.9,110.5,114.7,113.3,75.7,164.0,112.0,140.3
2023-03-01,106.2,103.5,111.9,111.0,75.1,158.0,108.4,144.1
2023-04-01,110.7,109.3,113.5,114.1,76.1,156.0,107.4,152.7
2023-05-01,101.1,96.9,109.5,111.5,76.4,152.5,100.5,151.5
