time_period,vnd_usd
2012-03-01,20828
2012-04-01,20828
2012-05-01,20828
2012-06-01,20828
2012-07-01,20828
2012-08-01,20828
2012-09-01,20828
2012-10-01,20828
2012-11-01,20828
2012-12-01,20828
2013-01-01,20828
2013-02-01,20828
2013-03-01,20828
2013-04-01,20828
2013-05-01,20828
2013-06-01,20845
2013-07-01,21036
2013-08-01,21036
2013-09-01,21036
2013-10-01,21036
2013-11-01,21036
2013-12-01,21036
2014-01-01,21036
2014-02-01,21036
2014-03-01,21036
2014-04-01,21036
2014-05-01,21036
2014-06-01,21120
2014-07-01,21246
2014-08-01,21246
2014-09-01,21246
2014-10-01,21246
2014-11-01,21246
2014-12-01,21246
2015-01-01,21436
2015-02-01,21458
2015-03-01,21458
2015-04-01,21458
2015-05-01,21673
2015-06-01,21673
2015-07-01,21764.81
2015-08-01,21890
2015-09-01,21890
2015-10-01,21890
2015-11-01,21890
2015-12-01,21890
2016-01-01,21904.83
2016-02-01,21888.81
2016-03-01,21874.78
2016-04-01,21888.89
2016-05-01,21888.08
2016-06-01,21881.69
2016-07-01,21871.81
2016-08-01,21860.85
2016-09-01,21941.08
2016-10-01,22003
2016-11-01,22078
2016-12-01,22138.19
2017-01-01,22172.14
2017-02-01,22221.78
2017-03-01,22254.19
2017-04-01,22324.57
2017-05-01,22373.19
2017-06-01,22415.5
2017-07-01,22438.71
2017-08-01,22442.19
2017-09-01,22445.58
2017-10-01,22464.85
2017-11-01,22451.04
2017-12-01,22437.3
2018-01-01,22410.65
2018-02-01,22439.05
2018-03-01,22454.44
2018-04-01,22488
2018-05-01,22575.04
2018-06-01,22597.31
2018-07-01,22647.5
2018-08-01,22679.26
2018-09-01,22699.88
2018-10-01,22719.81
2018-11-01,22730.62
2018-12-01,22783.04
2019-01-01,22850.7
2019-02-01,22902.78
2019-03-01,22952.73
2019-04-01,22996.75
2019-05-01,23054.54
2019-06-01,23059.68
2019-07-01,23068.81
2019-08-01,23114.56
2019-09-01,23142.04
2019-10-01,23154.63
2019-11-01,23143.46
2019-12-01,23162.22
2020-01-01,23164.3
2020-02-01,23218.2
2020-03-01,23223.42
2020-04-01,23241.5
2020-05-01,23256.5
2020-06-01,23235.92
2020-07-01,23222.56
2020-08-01,23209
2020-09-01,23206.84
2020-10-01,23197.22
2020-11-01,23178.96
2020-12-01,23146
2021-01-01,23137
2021-02-01,23138.6111111111
2021-03-01,23195.96
2021-04-01,23203.13
2021-05-01,23159.29
2021-06-01,23140.92
2021-07-01,23197.93
2021-08-01,23159.54
2021-09-01,23125.38
2021-10-01,23154.27
2021-11-01,23126.58
2021-12-01,23178.78
2022-01-01,23102.04
2022-02-01,23115
2022-03-01,23152.89
2022-04-01,23112.92
2022-05-01,23129.44
2022-06-01,23082.23
2022-07-01,23187
2022-08-01,23190.41
2022-09-01,23295
2022-10-01,23564.38
2022-11-01,23679.35
2022-12-01,23643.89
2023-01-01,23604.78
2023-02-01,23629.75
2023-03-01,23621.81
2023-04-01,23615.46
2023-05-01,23664.5
2023-06-01,23763.15
2023-07-01,23763.15
2023-08-01,23882.15
2023-09-01,24037.52
2023-10-01,24079.06
2023-11-01,23869.96
2023-12-01,23916.54
2024-01-01,23983.08
2024-02-01,23976.09
2024-03-01,23994.88
2024-04-01,24140.24
2024-05-01,24216.46
2024-06-01,24252.8
2024-07-01,24251.56
2024-08-01,24245.85
2024-09-01,24163.54
2024-10-01,24192.52
2024-11-01,24276.42
2024-12-01,24285.19
2025-01-01,24336.1
2025-02-01,24546.75
2025-03-01,24787.92
2025-04-01,24905.72
2025-05-01,24955.72
2025-06-01,25009.92
2025-07-01,25150.96
2025-08-01,
2025-09-01,25204.93
2025-10-01,25118.7
2025-11-01,25123.6
2025-12-01,25144.67
2026-01-01,25118.23
2026-02-01,25055.84
2026-03-01,25074.15
2026-04-01,25106.08
2026-05-01,25126.64
2026-06-01,25168.38
